"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"521",8477456,2022,"J.T. Compher","COL","L","5on4",82,12917,172,310,0.9,0.89,59,12,5,81,0,2,3
"522",8476419,2022,"Jean-Gabriel Pageau","NYI","C","5on4",70,9709,151,279,0.9,0.86,34,7,5,83,2,4,5
"523",8482105,2022,"Jake Sanderson","OTT","D","5on4",77,11161,208,139,0.89,0.88,58,16,2,0,2,10,0
"524",8480829,2022,"Jesperi Kotkaniemi","CAR","C","5on4",82,8752,180,438,0.88,0.89,58,10,2,24,0,8,2
"525",8477404,2022,"Jake Guentzel","PIT","L","5on4",78,17320,185,209,0.82,0.86,105,19,8,2,9,10,7
"526",8482705,2022,"Cole Sillinger","CBJ","C","5on4",64,3235,87,339,0.89,0.88,13,3,2,17,0,0,2
"527",8474102,2022,"David Perron","DET","L","5on4",82,15933,175,229,0.9,0.88,126,19,6,0,2,7,3
"528",8479525,2022,"Ross Colton","TBL","C","5on4",81,5758,150,472,0.84,0.87,38,8,3,8,2,0,5
"529",8478458,2022,"Jack Roslovic","CBJ","C","5on4",77,9665,150,332,0.83,0.85,38,9,2,41,0,4,4
"530",8477955,2022,"Jared McCann","SEA","L","5on4",79,11755,176,306,0.91,0.89,88,14,7,10,4,5,2
"531",8474709,2022,"Matt Martin","NYI","L","5on4",81,233,32,299,1,1,0,0,0,1,0,0,0
"532",8475768,2022,"Jaden Schwartz","SEA","C","5on4",71,9511,161,319,0.92,0.89,54,7,5,43,0,4,2
"533",8474141,2022,"Patrick Kane","NYR","R","5on4",73,13984,158,122,0.84,0.85,101,18,3,0,2,13,0
"534",8473453,2022,"Trevor Lewis","CGY","C","5on4",82,815,62,401,0.96,0.87,5,1,1,5,0,0,1
"535",8478495,2022,"Denis Gurianov","MTL","R","5on4",66,4556,102,301,0.91,0.84,25,3,1,0,1,2,2
"536",8475197,2022,"Tyson Barrie","NSH","D","5on4",85,14996,175,101,0.91,0.87,83,26,4,0,6,4,2
