"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"545",8476958,2022,"Jaccob Slavin","CAR","D","5on5",76,83957,1593,156,0.61,0.61,272,21,4,0,66,36,26
"546",8481522,2022,"Peyton Krebs","BUF","C","5on5",74,53033,1123,539,0.45,0.52,126,21,7,224,17,24,90
"547",8477979,2022,"Nicolas Aube-Kubel","WSH","R","5on5",53,35267,785,448,0.51,0.52,132,12,4,6,14,18,116
"548",8479425,2022,"Filip Hronek","VAN","D","5on5",64,64917,1318,184,0.47,0.46,188,16,4,0,9,25,83
"549",8471699,2022,"Andrew Cogliano","COL","C","5on5",79,50016,1300,686,0.47,0.48,117,17,10,18,19,8,53
"550",8475692,2022,"Mats Zuccarello","MIN","R","5on5",78,72062,1234,198,0.5,0.52,237,30,9,22,39,29,46
"551",8476927,2022,"Teddy Blueger","VGK","C","5on5",63,39849,893,534,0.48,0.47,114,13,3,226,20,15,67
"552",8470966,2022,"Mark Giordano","TOR","D","5on5",78,72912,1599,317,0.56,0.51,208,21,2,0,19,37,55
"553",8476931,2022,"Jake McCabe","TOR","D","5on5",76,77652,1593,212,0.49,0.48,175,21,3,0,27,38,144
"554",8480205,2022,"Emil Bemstrom","CBJ","R","5on5",55,35265,740,475,0.45,0.47,143,15,3,7,16,8,16
"555",8477508,2022,"Curtis Lazar","NJD","C","5on5",49,31281,774,432,0.46,0.44,79,5,3,126,13,5,135
"556",8477426,2022,"Nicholas Paul","TBL","L","5on5",80,62952,1280,411,0.48,0.51,176,23,9,390,43,30,103
"557",8477964,2022,"Ivan Barbashev","VGK","C","5on5",82,67932,1358,420,0.47,0.46,171,36,12,50,43,37,178
"558",8480848,2022,"Ty Dellandrea","DAL","C","5on5",82,58832,1338,594,0.5,0.51,157,24,8,91,17,24,119
"559",8470604,2022,"Jeff Carter","PIT","C","5on5",79,50473,1212,639,0.48,0.47,188,15,7,415,20,24,73
"560",8476925,2022,"Colton Sissons","NSH","C","5on5",82,58545,1230,566,0.46,0.45,145,24,9,391,22,21,153
"561",8474053,2022,"Logan Couture","SJS","C","5on5",82,63773,1514,474,0.5,0.48,199,36,14,518,50,24,119
"562",8477935,2022,"Sam Bennett","FLA","C","5on5",63,50444,1053,272,0.58,0.56,229,27,9,354,25,29,136
"563",8477492,2022,"Nathan MacKinnon","COL","C","5on5",71,73410,1495,135,0.54,0.56,398,65,25,452,39,34,47
"564",8482097,2022,"Jack Quinn","BUF","R","5on5",75,51711,1120,580,0.51,0.5,205,30,13,10,25,23,38
"565",8476881,2022,"Tomas Hertl","SJS","C","5on5",79,71724,1507,215,0.52,0.52,238,33,13,582,43,29,88
"566",8478136,2022,"Jake Middleton","MIN","D","5on5",79,77443,1543,276,0.49,0.47,162,14,3,0,14,22,106
"567",8474040,2022,"Sam Gagner","WPG","C","5on5",48,30028,681,397,0.51,0.53,103,10,6,9,12,6,15
"568",8471685,2022,"Anze Kopitar","LAK","C","5on5",82,72115,1471,238,0.54,0.52,210,46,17,590,35,35,57
"569",8475184,2022,"Chris Kreider","NYR","L","5on5",79,60823,1261,536,0.52,0.51,227,28,19,33,21,25,118
"570",8478445,2022,"Mathew Barzal","NYI","C","5on5",58,50293,1053,179,0.52,0.55,159,30,9,97,44,42,24
"571",8477947,2022,"Sonny Milano","WSH","L","5on5",64,45976,973,473,0.51,0.5,129,27,10,0,21,18,38
"572",8477971,2022,"Andreas Englund","CHI","D","5on5",47,31829,743,264,0.5,0.49,72,3,0,0,8,7,127
"573",8479410,2022,"Mikhail Sergachev","TBL","D","5on5",79,86795,1699,162,0.53,0.52,279,33,7,0,44,39,108
"574",8478413,2022,"Jordan Greenway","BUF","L","5on5",62,46230,975,422,0.47,0.46,171,10,5,2,11,12,103
"575",8478403,2022,"Jack Eichel","VGK","C","5on5",67,58947,1169,265,0.53,0.49,243,39,20,305,43,50,58
"576",8480002,2022,"Nico Hischier","NJD","C","5on5",81,65554,1547,443,0.6,0.55,286,45,14,599,47,29,30
"577",8477447,2022,"Shea Theodore","VGK","D","5on5",55,60368,1217,127,0.54,0.51,222,28,5,0,24,21,13
"578",8482116,2022,"Tim Sttzle","OTT","L","5on5",78,71143,1534,181,0.54,0.55,265,47,21,191,49,41,108
"579",8480801,2022,"Brady Tkachuk","OTT","L","5on5",82,67854,1665,366,0.56,0.56,376,45,20,191,30,38,227
"580",8475794,2022,"Tyler Seguin","DAL","C","5on5",76,58907,1293,389,0.54,0.53,220,31,10,378,22,22,75
"581",8473504,2022,"Cal Clutterbuck","NYI","R","5on5",49,30135,805,501,0.47,0.48,70,10,5,0,8,14,190
"582",8480459,2022,"Pius Suter","DET","C","5on5",79,56336,1184,552,0.49,0.46,154,20,12,197,20,12,34
"583",8480845,2022,"Rasmus Kupari","LAK","C","5on5",66,35152,796,667,0.51,0.49,87,14,3,202,13,10,77
"584",8477034,2022,"Jaycob Megna","SEA","D","5on5",54,54552,1097,177,0.52,0.55,121,10,1,0,11,25,78
"585",8480018,2022,"Nick Suzuki","MTL","C","5on5",82,74164,1405,203,0.42,0.46,182,42,15,476,34,41,44
"586",8482078,2022,"Lucas Raymond","DET","L","5on5",74,60111,1244,313,0.43,0.46,167,20,10,3,30,23,39
"587",8480220,2022,"Noah Cates","PHI","L","5on5",82,66381,1577,459,0.48,0.47,146,25,8,327,43,9,74
"588",8480036,2022,"Miro Heiskanen","DAL","D","5on5",79,94091,1757,114,0.53,0.54,300,30,5,0,38,54,44
"589",8475172,2022,"Nazem Kadri","CGY","C","5on5",82,66437,1496,326,0.53,0.58,345,37,13,456,32,36,96
"590",8481559,2022,"Jack Hughes","NJD","C","5on5",78,73945,1489,154,0.58,0.57,361,56,28,149,52,61,9
"591",8479400,2022,"Pierre-Luc Dubois","WPG","L","5on5",73,61543,1351,308,0.53,0.52,255,31,13,383,36,43,68
"592",8481533,2022,"Trevor Zegras","ANA","C","5on5",81,74669,1505,223,0.42,0.47,271,41,16,219,27,56,35
"593",8478882,2022,"Vladislav Gavrikov","LAK","D","5on5",72,76728,1507,185,0.48,0.48,142,13,3,0,20,13,62
"594",8480796,2022,"Martin Fehervary","WSH","D","5on5",67,71276,1444,183,0.47,0.47,172,14,4,0,12,32,209
